Title,Github URL,Paper URL,Specific URL,Documentation,Dependencies,Special features,Entry Points (Scripts),Execution Command,External Credentials,Dataset Dependency,Terminate
generals-bots,https://github.com/strakam/generals-bots,https://arxiv.org/abs/2507.06825,https://arxiv.org/pdf/2507.06825,README + Wiki. Install/use shown; examples linked.,7.0,"Python-based reinforcement learning environment for the game Generals.io.
Includes multiple agent baselines, replay GUI, and both Gymnasium and PettingZoo wrappers.
Designed for research and experimentation with multi-agent game strategies.
Easily extendable with custom agents and compatible with standard RL toolkits.",examples/complete_example.py (Primary),"PYTHONPATH=. python examples/complete_example.py (source: README “complete example”)
pytest -q (source: tests/ folder)",None (online autopilot requires generals.io account/lobby if used),None (built-in map generator),Yes
gigaam,https://github.com/salute-developers/gigaam,https://arxiv.org/abs/2506.01192,https://arxiv.org/pdf/2506.01192,README in repo,6.0,"Transformer-based Acoustic Model for Speech and Emotion Recognition. Uses Hydra configs, VAD, emotion conditioning. HuggingFace model only.",gigaam (library import) (Primary); inference_example.ipynb,"PYTHONPATH=. python -c ""import gigaam; print(hasattr(gigaam, 'load_model'))"" (source: README usage)
PYTHONPATH=. python -c ""import gigaam; m=gigaam.load_model('rnnt'); print(str(m.transcribe('path/to/audio.wav'))[:80])"" (source: README usage)
PYTHONPATH=. python -c ""import gigaam; m=gigaam.load_model('emo'); print(m.get_probs('path/to/audio.wav'))"" (source: README usage)
export HF_TOKEN=""your_hf_token"" (source: README long-form)
PYTHONPATH=. python -c ""import os,gigaam; os.environ['HF_TOKEN']=os.environ.get('HF_TOKEN',''); m=gigaam.load_model('ctc'); print(list(m.transcribe_longform('long_example.wav'))[:1])"" (source: README long-form)",None; HF token required only for long-form VAD (pyannote models),User-provided audio files (no fixed dataset),Yes
formatron,https://github.com/Dan-wanna-M/formatron/tree/master,https://arxiv.org/abs/2506.01151,https://arxiv.org/pdf/2506.01151,README only; no docs,11.0,"Supports multiple LLM backends (ExLlamaV2, vLLM, Transformers) with structured output control via JSON schema.",formatron (library import) (Primary); examples/,"PYTHONPATH=src python -c ""import formatron; print('formatron imported')"" (source: src/formatron/)
PYTHONPATH=src pytest -q (source: tests/)
PYTHONPATH=src python - <<'PY'\nfrom formatron.formatter import FormatterBuilder\nf=FormatterBuilder(); f.append_line('Hello, World!')\nprint('demo ok')\nPY (source: README → “Examples” pattern)",None (some HF models referenced in README may require access on HuggingFace),,No
cmbagent,https://github.com/CMBAgents/cmbagent,https://arxiv.org/abs/2507.07257,https://arxiv.org/pdf/2507.07257,README + usage instructions,19.0,"LLM-based agent framework for simulating cosmological model analysis. Uses crewAI and ConstructorAdapter to run agents solving tasks like computing H0 parameter. Includes LangChain, LangGraph, and other modern libraries.",cmbagent (console entry) (Primary); backend/run.py; cmbagent.one_shot (library),"PYTHONPATH=. python -c ""import cmbagent; print('cmbagent import ok')"" (source: README → “Run” import)
PYTHONPATH=. python -c ""import cmbagent; task='Draw two random numbers and give me their sum'; print(cmbagent.one_shot(task, agent='engineer', engineer_model='gpt-4o-mini'))"" (source: README “Run”; requires OPENAI_API_KEY)
PYTHONPATH=. python backend/run.py (source: README Manual Setup)
PYTHONPATH=. pytest -q (source: tests/ present)",OPENAI_API_KEY required; optional ANTHROPIC_API_KEY; optional GOOGLE_APPLICATION_CREDENTIALS (Vertex AI),None (agents operate on prompts/RAG content; optional external repo cmbagent_data for RAG),Yes
nanoGPT,https://github.com/karpathy/nanoGPT,https://arxiv.org/pdf/2507.07101,https://arxiv.org/pdf/2507.07101,README,17.0,Lightweight educational GPT training from scratch,train.py (Primary); sample.py; data/shakespeare/prepare.py,"PYTHONPATH=. python data/shakespeare/prepare.py (source: README → Shakespeare data prep)
PYTHONPATH=. python train.py config/train_shakespeare_char.py --device=cpu --compile=False --eval_iters=20 --log_interval=10 --block_size=64 --batch_size=8 --n_layer=2 --n_head=2 --n_embd=128 --max_iters=100 (source: README + config/train_shakespeare_char.py; tiny CPU smoke test)
PYTHONPATH=. python train.py config/train_shakespeare_char.py --device=cuda (source: README + config/train_shakespeare_char.py; practical GPU training)
PYTHONPATH=. python sample.py --out_dir=out-shakespeare-char --device=cpu (source: README + sample.py; requires trained checkpoint)",,Downloads Tiny Shakespeare via prepare.py; user-provided text also supported,No
OpenDPD,https://github.com/lab-emi/OpenDPD,https://arxiv.org/abs/2507.06849,https://arxiv.org/pdf/2507.06849,README,8.0,Deep Parametric Decoder for reconstructing speech/audio from features.,main.py (Primary); train_all_pa.sh; train_all_dpd.sh; OpenDPDv2.sh; quant_mp_dpd.sh ,"python main.py --dataset_name DPA_200MHz --step train_pa --accelerator cpu (source: README)
python main.py --dataset_name DPA_200MHz --step train_dpd --accelerator cpu (source: README)
python main.py --dataset_name DPA_200MHz --step run_dpd --accelerator cpu (source: README)
bash train_all_pa.sh (source: README)
bash train_all_dpd.sh (source: README)
bash OpenDPDv2.sh (source: README)
bash quant_mp_dpd.sh (source: README)",,"Bundled PA datasets (e.g., DPA_200MHz, APA_200MHz)",Yes
agibotworld,https://github.com/OpenDriveLab/AgiBot-World,https://arxiv.org/abs/2507.06219,https://arxiv.org/pdf/2507.06219,README in repo,11.0,Multi-agent embodied learning in simulated 3D environments using HuggingFace LeRobot and OpenDriveLab tools; integrates vision-language models with action planning for robotic tasks.,scripts/visualize_dataset.py (Primary); go1/shell/train.sh; evaluate/libero/convert_libero_data_to_lerobot.py; evaluate/deploy.py; evaluate/openloop_eval.py,"python scripts/visualize_dataset.py --task-id 390 --dataset-path /path/to/lerobot/format/dataset (source: README “Visualize Datasets”)
python evaluate/libero/convert_libero_data_to_lerobot.py --data_dir /path/to/your/libero/data (source: README “Prepare Data”)
RUNNAME=<YOUR_RUNNAME> bash go1/shell/train.sh go1/configs/go1_sft_libero.py (source: README “Start Fine-tuning”)
python evaluate/deploy.py --model_path /path/to/checkpoint --data_stats_path /path/to/dataset_stats.json --port 8080 (source: README “Remote Inference”)",,Requires AgiBot-World datasets (Alpha/Beta) and/or LIBERO converted to LeRobot format; optional downloads via HuggingFace/OpenDataLab,Yes
graphrag-toolkit,https://github.com/awslabs/graphrag-toolkit,https://arxiv.org/abs/2507.04127,https://arxiv.org/pdf/2507.04127,README in repo,12.0,"Supports multi-modal RAG pipelines with graph-based chunking and retrieval. Includes tools for evaluation and benchmark integration (e.g., RAGAS), OpenAI/LLM support, and compatibility with LangChain/Streamlit.",graphrag/run_graph_rag_pipeline.py (Primary),"OPENAI_API_KEY=your_key PYTHONPATH=. python graphrag/run_graph_rag_pipeline.py --help (source: README → “Run pipeline”)
OPENAI_API_KEY=your_key PYTHONPATH=. python graphrag/run_graph_rag_pipeline.py (source: README → “Run pipeline”)",OPENAI_API_KEY (and other provider keys if used),User-provided documents/datasets (optional benchmarks via integrations),Yes
pdfmathtranslate,https://github.com/byaidu/pdfmathtranslate,https://arxiv.org/abs/2507.03009,https://arxiv.org/pdf/2507.03009,README in repo,22.0,Provides an end-to-end pipeline for extracting mathematical expressions from PDFs and converting them into LaTeX using GPT-based OCR and formula segmentation. Supports visual parsing and batch processing.,main.py (Primary),"OPENAI_API_KEY=sk-... PYTHONPATH=. python main.py --help (source: README → usage)
OPENAI_API_KEY=sk-... PYTHONPATH=. python main.py --input path/to/file.pdf --output out_dir (source: README → usage)",OPENAI_API_KEY (for GPT-based OCR),User-provided PDFs,Yes
Flash-VStream,https://github.com/IVGSZ/Flash-VStream,https://arxiv.org/abs/2506.23825,https://arxiv.org/pdf/2506.23825,README present,13.0,"Streamlined framework for evaluating multimodal LLMs on video-based tasks. Supports frame extraction, table parsing, and pipeline-based model interaction.",Flash-VStream-LLaVA/realtime_cli.sh (Primary); Flash-VStream-Qwen/realtime_cli.sh,"bash -n Flash-VStream-LLaVA/realtime_cli.sh (source: Flash-VStream-LLaVA/realtime_cli.sh)
bash Flash-VStream-LLaVA/realtime_cli.sh (source: subproject README)
bash -n Flash-VStream-Qwen/realtime_cli.sh (source: Flash-VStream-Qwen/realtime_cli.sh)
bash Flash-VStream-Qwen/realtime_cli.sh (source: subproject README)",,User-provided videos (optional benchmark datasets),Yes
