Title,Paper URL,Specific URL,Github URL,Language,Size,Activity,Age (years),Popularity,Documentation,Dependencies,Special features,Native Extensions,Custom Build,Complex Dependency Graph,Multi-Service Required,Pipeline Complexity,Model Size Heavy,Tested,Standalone Friendly,Entry Points (Scripts),Entry Points (Tests),Path / Source,Detection Method,Execution Command,Hardware (GPU/CPU),External Credentials,Dataset Dependency,Known problems,Terminate,Memory profile,Load profile
hyperopt,https://pdfs.semanticscholar.org/d4f4/9717c9adb46137f49606ebbdf17e3598b5a5.pdf ,,https://github.com/hyperopt/hyperopt,Python,15K–20K LOC,1223 commits,13,7.4k stars / 1.2k forks,http://hyperopt.github.io/hyperopt,4,"Hyperopt is designed to support different kinds of trial databases. The default trial database (Trials) is implemented with Python lists and dictionaries. 
The default implementation is a reference implementation and it is easy to work with, but it does not support the asynchronous updates required to evaluate trials in parallel. 
For parallel search, hyperopt includes a MongoTrials implementation that supports asynchronous updates.", No,No,No,No,No,No,Yes,Yes,python -m hyperopt (Primary); hyperopt/mongoexp.py; hyperopt-mongo-worker,hyperopt/tests/; run_tests.sh ,"hyperopt/init.py
hyperopt/mongoexp.py
hyperopt/tests/
run_tests.sh
pyproject.toml
README.rst","Docs (Basic Tutorial) — https://hyperopt.github.io/hyperopt/tutorials/01.BasicTutorial/
Docs (MongoDB / MongoTrials) — https://hyperopt.github.io/hyperopt/scaleout/mongodb/
Docs (Running tests) — https://hyperopt.github.io/hyperopt/setup/running-tests/ 
pyproject [project.scripts]","python -c ""from hyperopt import fmin, tpe, hp; best=fmin(lambda x:(x-3)**2, hp.uniform('x',-5,5), algo=tpe.suggest, max_evals=20); print(best)"" (source: Docs “Basic Tutorial”)
HYPEROPT_FMIN_SEED=3 ./run_tests.sh --no-spark (source: Docs “Running tests”)
python -m hyperopt.mongoexp --mongo=localhost:27017/hyperopt_db --poll-interval=0.1 (source: Docs “MongoDB/MongoTrials”)",CPU (GPU not required),None (MongoDB/Spark only if used),None,39 Issues open and 1 PR hanging. Last commit 5 months ago. Documentation with broken links. Perhaps it is being abandoned,Yes,"autogen.py: 
total memory forecasted: Unkonw
peak memory forecasted: Unkown",{}
pymatgen, ,needs login credential,https://github.com/materialsproject/pymatgen,Python,40K–45K LOC,Very active,12,1.6k stars / 450 forks,https://pymatgen.org/,35,"It is a tool used for academic research and is actively developed by a large community of people, bringing frequent releases. 
As a rule of thumb, pymatgen will support whatever versions of Python the latest version of numpy supports. 
Pymatgen is structured in a highly object-oriented manner. ", No,No,Yes,No,No,No,Yes,Yes,pymatgen.cli.pmg (Primary); pymatgen.cli.get_environment; pymatgen.cli.feff_plot_dos; pymatgen.cli.feff_plot_cross_section,tests/,"src/pymatgen/cli/pmg.py
src/pymatgen/cli/
tests/
pyproject.toml
README.md ","CLI docs (pymatgen.cli package): https://pymatgen.org/pymatgen.cli.html
Docs (Installation → pmg config): https://pymatgen.org/installation.html
Docs (Usage/MPRester API key): https://pymatgen.org/usage.html
pyproject [project.scripts]","PYTHONPATH=src python -m pymatgen.cli.pmg --help (source: CLI docs)
PYTHONPATH=src python -m pymatgen.cli.pmg config --help (source: Installation page)
PYTHONPATH=src python -m pymatgen.cli.get_environment --help (source: CLI docs → get_environment)
PYTHONPATH=src pytest -q (source: repo has tests/)",CPU (no GPU required),"Optional Materials Project API key for MPRester (e.g., PMG_MAPI_KEY via config/env)",None (some features require user-provided VASP POTCAR path via pmg config),Errors in pymatgen/transformations/advanced_transformations.py leading to incorrect behavior,Yes,"generate_periodic_table_yaml_json.py: 
total_memory_forecasted: 78.356 MB
peak_memory_forecasted: 13.892 MB

regen_libxcfunc.py:  
total_memory_forecasted: 35.966 MB
peak_memory_forecasted: 6.6653 MB

potcar_scrambler.py: 
total_memory_forecasted: 104.299 MB
peak_memory_forecasted: 28.436 MB

plane_multiplicity.py:  
total_memory_forecasted: 30.318 MB
peak_memory_forecasted: 5.133 MB

explicit_permutations_plane_algorithm.py:
total_memory_forecasted: 81.341 MB
peak_memory_forecasted: 15.922 MB

equivalent_indices.py:  
total_memory_forecasted: 4.853 MB
peak_memory_forecasted: 1.414 MB

view_environment.py:
total_memory_forecasted: 82.244 MB
peak_memory_forecasted: 13.031 MB

explicit_permutations.py:
total_memory_forecasted: 83.960 MB
peak_memory_forecasted: 16.182 MB

get_plane_permutations_optimized.py:  
total_memory_forecasted: 81.330 MB
peak_memory_forecasted: 14.772 MB

multi_weights_strategy_parameters.py:
total_memory_forecasted: 87.917 MB
peak_memory_forecasted: 13.516 MB

utils..py:
total_memory_forecasted: 35.047 MB
peak_memory_forecasted: 6.601 MB

feff_plot_dos.py:  
total_memory_forecasted: 89.853 MB
peak_memory_forecasted: 16.129 MB

feff_plot_cross_section.py:
total_memory_forecasted: 138.704 MB
peak_memory_forecasted: 49.982 MB

pmg_potcar.py:
total_memory_forecasted: 100.323 MB
peak_memory_forecasted: 119.239 MB

get_environment.py:  
total_memory_forecasted: 81.673 MB
peak_memory_forecasted: 24.407 MB

pmg.py:
total_memory_forecasted: 139.660 MB
peak_memory_forecasted: 57.371 MB","generate_periodic_table_yaml_json.py:
percent_cpu: 33.14
percent_gpu: 0.0"
PiNN,https://teoroo-cmc.github.io/PiNN/master/,,https://github.com/Teoroo-CMC/PiNN,Python,10K–15K LOC,Active development,5,112 stars / 35 forks,https://teoroo-cmc.github.io/PiNN/master/,18,"Library built on top of TensorFlow for performing atomistic ML tasks. Besides training ML interatomic potentials, PiNN can also predict physical and chemical properties of molecules and materials. 
In order to be both flexible and scalable, PiNN is built with modularized components and fully adheres to TensorFlow's high-level Estimator and Dataset API", No,No,Yes,No,Yes,No,Yes,Yes,python -m pinn.cli (Primary); python -m pinn.cli.convert; python -m pinn.cli.train; python -m pinn.cli.log; python -m pinn.cli.report,tests/,"pinn/cli.py
pinn/
tests/
pyproject.toml
README.md
docs/","Docs “Using the CLI” (quick start) — https://teoroo-cmc.github.io/PiNN/master/usage/quick_start/
CLI pages — https://teoroo-cmc.github.io/PiNN/master/usage/cli/convert/
 ; https://teoroo-cmc.github.io/PiNN/master/usage/cli/train/
 ; https://teoroo-cmc.github.io/PiNN/master/usage/cli/log/
 ; https://teoroo-cmc.github.io/PiNN/master/usage/cli/report/
Repo structure (CLI and tests) noted in README/docs","python -m pinn.cli --help (source: Docs “Using the CLI”)
python -m pinn.cli.convert --help (source: CLI docs: convert)
python -m pinn.cli.train --help (source: CLI docs: train)
python -m pinn.cli.log --help (source: CLI docs: log)
python -m pinn.cli.report --help (source: CLI docs: report)
pytest -q (source: repo has tests/)",GPU optional (CPU supported via TensorFlow CPU),None,User-provided datasets; converters available via pinn convert,,Yes,"cli.py:
total memory forecasted: 5.192 MB
peak memory forecasted: 2.253 MB",??
RadonPy,https://arxiv.org/abs/2203.14090,https://arxiv.org/pdf/2203.14090,https://github.com/RadonPy/RadonPy,Python,20K–25K LOC,Active development,3,175 stars / 27 forks,README in repo,8,"First open-source Python library for fully automated calculation for a comprehensive set of polymer properties.

The PyPI package is available, but Psi4 can not be installed by pip install. 

This could be a nice challenge to solve in order to improve the project handling errors", No,No,Yes,No,Yes,No,No,Yes,optuna CLI (Primary),,"sample_script/
radonpy/
yaml/
README.md ","README (installation & usage mention demo scripts and workflow examples)
Repository layout shows sample_script/, radonpy/, yaml/","PYTHONPATH=. python sample_script/tc.py (source: sample_script/ demos)
PYTHONPATH=. python sample_script/eq.py (source: sample_script/ demos)
PYTHONPATH=. python sample_script/qm.py (source: sample_script/ demos)
PYTHONPATH=. python sample_script/rst_eq.py (source: sample_script/ demos)",CPU (GPU optional via GPU-enabled LAMMPS),None,"User-provided polymer definitions (e.g., SMILES/repeat units); demos runnable without fixed external dataset",,Yes,"tc.py:
total memory forecasted: 32.944 MB
peak memory forecasted: 5.643 MB

eq.py:
total memory forecasted: 37.966 MB
peak memory forecasted: 5.621 MB

qm.py:
total memory forecasted: 46.858 MB
peak memory forecasted: 7.854 MB

rst_eq.py:
total memory forecasted: 56.831 MB
peak memory forecasted: 13.764 MB",??
optuna,https://arxiv.org/abs/1907.10902,https://arxiv.org/pdf/1907.10902,https://github.com/optuna/optuna,Python,20K LOC,Active development,5,11.9k stars / 1.4k forks,https://optuna.readthedocs.io/,15,"It is an automatic hyperparameter optimization software framework, particularly designed for machine learning.
It features an imperative, define-by-run style user API.
Provide Optuna docker images on DockerHub.", No,No,No,No,No,No,Yes,Yes,python -m optuna.cli (Primary),tests/,"optuna/cli.py
optuna/
tests/
README.md
pyproject.toml","Docs (Command-Line Interface): https://optuna.readthedocs.io/en/stable/reference/cli.html
Repo file (cli.py) indicates module CLI
Repo folder (tests/) indicates pytest suite","python -m optuna.cli create-study --storage sqlite:///example.db --study-name demo (source: Docs “CLI”)
python -m optuna.cli studies --storage sqlite:///example.db (source: Docs “CLI”)
pytest -q (source: tests/ present in repo)",CPU (GPU not required),None,None,,Yes,"012_artifact_tutorial.py:
total_memory_forecasted: 81.282 MB
peak_memory_forecasted: 27.504 MB

004_cli.py:
total_memory_forecasted: 10.835 MB
peak_memory_forecasted: 5.630 MB","012_artifact_tutorial.py:
percent_cpu: 45.47
percent_gpu: 0.98

004_cli.py:
percent_cpu: 44.86
percent_gpu: 0.73"
UMAP,https://arxiv.org/pdf/1802.03426,,https://github.com/lmcinnes/umap,Python,10k - 15K LOC,Active development,7,7.8k stars / 830 forks,"README and 
https://umap-learn.readthedocs.io/en/latest/  ",10,"UMAP is a dimension reduction technique.
It requires Python 3.6 or greater.", No,No,Yes,No,No,No,Yes,Yes,umap/umap_.py (Primary); examples/; umap (console script),umap/tests/,"umap/umap_.py
umap/
umap/tests/
examples/
README.md
pyproject.toml","Docs (ReadTheDocs) — https://umap-learn.readthedocs.io/en/latest/
Repo README and tree show core module, tests, examples","PYTHONPATH=. python -c ""import umap, sklearn.datasets as ds; X,_=ds.load_digits(return_X_y=True); print(umap.UMAP().fit_transform(X).shape)"" (source: Docs API usage)
pytest -q (source: tests/ present)","CPU; no GPU required (GPU-accelerated UMAP is in RAPIDS cuML, separate project)",None,User-provided data (or scikit-learn toy datasets for demos),"Segmentation faults can occur, especially when using certain distance metrics like Jaccard, due to issues in nearest neighbor search and floating-point errors. A suggested workaround is to binarize the data.
RecursionError may arise when the dataset contains duplicate points. Removing duplicates before processing is a potential solution.",Yes,,
MAPIE,https://arxiv.org/pdf/2207.12274,,https://github.com/scikit-learn-contrib/MAPIE,Python,10K - 15k LOC,Active development,3,1.4k stars / 120 forks,"README and 
https://mapie.readthedocs.io/en/latest/",8,"It is a library hosted on scikit-learn-contrib and it follows scikit-learn guidelines.
From the paper, MAPIE implements conformal prediction methods for regression and classification settings and is therefore model and (soon to be) use case agnostic. Conformal prediction methods allow MAPIE to have mathematical guarantees on the marginal coverages on the uncertainties.", No,No,No,No,No,No,Yes,Yes,mapie/regression.py (Primary); examples/,mapie/tests/,"examples/
notebooks/
mapie/
requirements.dev.txt
README.md
pyproject.toml","Docs (Quick Start) — https://mapie.readthedocs.io/en/latest/quick_start.html
Docs (Examples galleries) — https://mapie.readthedocs.io/en/latest/examples_regression/index.html
 ; https://mapie.readthedocs.io/en/latest/examples_classification/index.html
Repo tree shows examples/, mapie/, notebooks/, and requirements.dev.txt (pytest-based tests)","PYTHONPATH=. python -c 'from mapie.regression import MapieRegressor; from sklearn.linear_model import LinearRegression as LR; from sklearn.datasets import load_diabetes; X,y=load_diabetes(return_X_y=True); m=MapieRegressor(LR()); m.fit(X,y); print(m.predict(X, alpha=0.1)[0].shape)' (source: Docs “Quick Start” pattern)
pytest -q (source: dev requirements/tests present)
PYTHONPATH=. python examples/<example_script>.py (source: examples/ folder)",CPU (no GPU required),None,User-provided data (docs use scikit-learn toy datasets),"Incompatibility with scikit-learn version 1.4.2, leading to errors. This issue has been addressed in a subsequent update.
Issues with certain cross-validation strategies (LeaveOneGroupOut, LeavePGroupsOut) not functioning as expected",Yes,"plot_kim2020_simulations.py: 
total memory forecasted: 432.113 MB
peak memory forecasted: 112.331 MB
",Timed out
Scanpy,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-017-1382-0,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-017-1382-0.pdf,https://github.com/scverse/scanpy,Python,30K LOC,Very active,7,2.1k stars / 640 forks,https://scanpy.readthedocs.io/en/stable/ ,35,"It is is a scalable toolkit for analyzing single-cell gene expression data built jointly with anndata. 
It provides the docker image on DockerHub", No,No,Yes,No,Yes,No,Yes,Yes,src/scanpy/ (Primary); notebooks/,tests/,"src/scanpy/
tests/
notebooks/
README.md
pyproject.toml","README + repo tree expose src/, tests/, notebooks/ folders
Docs confirm API usage (e.g., scanpy.pp.neighbors, scanpy.tl.umap) and workflows
Stable docs landing page used to validate entry points","PYTHONPATH=src python -c ""import anndata as ad, scanpy as sc, sklearn.datasets as ds; X,_=ds.load_digits(return_X_y=True); a=ad.AnnData(X); sc.pp.neighbors(a); sc.tl.umap(a); print(a.obsm['X_umap'].shape)"" (source: docs API patterns)
pytest -q (source: presence of tests/)",CPU (no GPU required),None,"User-provided single-cell data (e.g., .h5ad); tutorials may download common datasets","Incompatibility with matplotlib version 3.7, causing metaclass issues. Downgrading to matplotlib 3.6 resolves the problem.
Errors encountered when using sc.pl.dpt_timeseries and dpt_groups_pseudotime functions, possibly due to specific data structures or versions.
Issues when running scrublet for doublet detection, leading to errors during execution. ",Yes,"towncrier_automation.py:
total_memory_forecasted: Unknown
peak_memory_forecasted: Unknown

low-vers.py:
total_memory_forecasted: Unknown
peak_memory_forecasted: Unknown

palettes.py:
total_memory_forecasted: 91.860 MB
peak_memory_forecasted: 23.886 MB","palettes.py: 
percent_cpu: 48.13
percent_gpu: 0.0"
scores,https://arxiv.org/pdf/2406.07817,,https://github.com/nci/scores/,Python,5K -  10K LOC,Active development,2,165 stars / 30 forks,https://scores.readthedocs.io/en/stable/ ,10," Python package containing mathematical functions for the verification, evaluation and optimisation of forecasts, predictions or models.
It propose using pixi as an option for environment management.", No,No,No,No,No,No,No,Yes,scores (library import) (Primary),,"scores/
README.md ","README states library usage; no CLI entry points
Docs confirm library functions and examples — https://scores.readthedocs.io/en/stable/
Repo tree shows only scores/ package (no console script)","PYTHONPATH=. python -c ""import scores; print('scores imported')"" (source: package path scores/)
PYTHONPATH=. python -c ""import scores, inspect; print([m for m in dir(scores) if not m.startswith('_')][:5])"" (source: docs show library-only usage)",CPU,None,User-provided data (forecasts/observations),,Yes,no entry point,no entry point
DeepHyper,https://joss.theoj.org/papers/10.21105/joss.07975,,https://github.com/deephyper/deephyper,Python,35 - 40K LOC,Very active,5,289 stars / 60 forks,"README and 
https://deephyper.readthedocs.io/en/stable/ ",17,"It requires Python 3.10 or greater. 
It is a pure Python package but some features of the package can require external libraries to be installed that require compilation when pre-built binaries are not available for the target system (e.g., Tensorflow or Numpy).
The package is organized around the modules analysis, ensemble, evaluator, hpo, predictor, stopper.", No,No,Yes,No,Yes,No,Yes,Yes,src/deephyper/ (Primary),tests/,"src/deephyper/
tests/
README.md
pyproject.toml","Docs (Install/Overview confirm Python ≥3.10 and library usage) — https://deephyper.readthedocs.io/en/stable/
 ; https://deephyper.readthedocs.io/en/latest/install/index.html
Docs (Running tests indicates tests/) — https://deephyper.readthedocs.io/en/latest/developer_guides/running_tests.html
API pages (CBO, Evaluator) used for smoke test — https://deephyper.readthedocs.io/en/latest/_autosummary/deephyper.hpo.CBO.html
 ; https://deephyper.readthedocs.io/en/latest/_autosummary/deephyper.evaluator.html
Repo tree shows src/deephyper/ and tests/","PYTHONPATH=src python -c ""from deephyper.hpo import HpProblem, CBO; from deephyper.evaluator import Evaluator; p=HpProblem(); p.add_hyperparameter((-1,1),'x'); ev=Evaluator.create(lambda j:j**2, method='process', method_kwargs={'num_workers':2}); print(CBO(p, random_state=0).search(ev, max_evals=10).shape)"" (source: API docs CBO & Evaluator)
pytest -q (source: Docs “Running tests”)",CPU (GPU optional if user model uses TF/PyTorch),None,User-provided or synthetic (examples often generate simple functions/datasets),,No,,
