Title,Github URL,Description,Main Category,Secondary Category,Tags
generals-bots,https://github.com/strakam/generals-bots,"Python-based reinforcement learning environment for the game Generals.io. Includes multiple agent baselines, replay GUI, and both Gymnasium and PettingZoo wrappers.",Reinforcement Learning,Multi-Agent Game Environment,"RL, Multi-Agent, Game AI, Gymnasium, PettingZoo"
gigaam,https://github.com/salute-developers/gigaam,"Transformer-based Acoustic Model for Speech and Emotion Recognition. Uses Hydra configs, VAD, emotion conditioning.",Speech Processing,Acoustic Model,"Transformer, Speech Recognition, Emotion Recognition, Hydra"
formatron,https://github.com/Dan-wanna-M/formatron/tree/master,"Supports multiple LLM backends (ExLlamaV2, vLLM, Transformers) with structured output control via JSON schema.",LLM Framework,Output Formatting,"LLM, Structured Output, JSON Schema, ExLlamaV2, vLLM"
cmbagent,https://github.com/CMBAgents/cmbagent,LLM-based agent framework for simulating cosmological model analysis.,LLM Framework,Multi-Agent Scientific,"LLM Agents, Cosmology, LangChain, LangGraph"
nanoGPT,https://github.com/karpathy/nanoGPT,Lightweight educational GPT training from scratch.,LLM Training,Educational,"GPT, Language Model, Training from Scratch, Multi-Agent"
OpenDPD,https://github.com/lab-emi/OpenDPD,Deep Parametric Decoder for reconstructing speech/audio from features.,Speech Processing,Audio Reconstruction,"Speech, Audio, Decoder, Reconstruction"
agibotworld,https://github.com/OpenDriveLab/AgiBot-World,Multi-agent embodied learning in simulated 3D environments; integrates VLMs with robotic action planning.,Robotics & Embodied AI,Multi-Agent Embodied,"Robotics, Multi-Agent, Vision-Language Models"
graphrag-toolkit,https://github.com/awslabs/graphrag-toolkit,Multi-modal RAG pipelines with graph-based chunking and retrieval.,RAG Framework,Graph-based RAG,"RAG, Graph Retrieval, Multimodal, LangChain"
pdfmathtranslate,https://github.com/byaidu/pdfmathtranslate,Pipeline for extracting math expressions from PDFs and converting to LaTeX using GPT-based OCR.,Document AI,Math Extraction,"OCR, LaTeX, PDF Parsing, Math Recognition"
Flash-VStream,https://github.com/IVGSZ/Flash-VStream,Framework for evaluating multimodal LLMs on video-based tasks.,LLM Evaluation,Multimodal Video,"Video Understanding, Multimodal, Evaluation"
mteb,https://github.com/embeddings-benchmark/mteb,Benchmark suite for multilingual text embedding evaluation across 100+ tasks.,LLM Evaluation,Text Embeddings,"Benchmarking, Multilingual, Embeddings"
ClearerVoice-Studio,https://github.com/modelscope/ClearerVoice-Studio,Speech enhancement and denoising studio using neural vocoders and diffusion.,Speech Processing,Speech Enhancement,"Speech, Denoising, Diffusion, Gradio"
reasoning360,https://github.com/LLM360/Reasoning360,Benchmark suite for evaluating LLM reasoning across categories.,LLM Evaluation,Reasoning,"Reasoning, Benchmark, Evaluation"
FlexRAG,https://github.com/ictnlp/FlexRAG,Modular Retrieval-Augmented Generation framework with configurable retrievers/generators.,RAG Framework,Modular RAG,"RAG, Retrieval, Generation"
FlagEvalMM,https://github.com/flageval-baai/FlagEvalMM,Framework for evaluating multimodal LLMs on vision-language tasks.,LLM Evaluation,Multimodal Benchmark,"Vision-Language, Benchmark, Evaluation"
SeerAttention,https://github.com/microsoft/SeerAttention,Visual attention analysis toolkit for interpreting vision transformers.,Vision AI,Attention Visualization,"Vision Transformers, Attention Maps, Visualization"
lightllm,https://github.com/ModelTC/lightllm,Lightweight inference library for large language models.,LLM Inference,Optimization,"LLM, Inference, FlashAttention2, Triton"
ShapeLLM-Omni,https://github.com/JAMESYJL/ShapeLLM-Omni/,Framework for 3D reconstruction and shape understanding using LLMs.,3D AI,Shape Understanding,"3D Reconstruction, Shape Understanding, LLM"
